dayofweek,bookinghour,item_status,Location,TotalBookings
Thursday,20,NO_TAKER,3.0655995101.6156977,1
Thursday,18,NO_TAKER,2.9280165101.6423039,2
Tuesday,6,NO_TAKER,3.176146101.6168813,1
Tuesday,18,NO_TAKER,3.0661645101.613373,1
Tuesday,18,CANCELLED_BY_PASSENGER,3.15007101.5792289,2
Tuesday,9,NO_TAKER,2.94971935475917101.657126910728,1
Tuesday,23,CANCELLED_BY_PASSENGER,3.0613112101.6082044,1
Tuesday,7,NO_TAKER,2.949395101.6654225,6
Tuesday,15,NO_TAKER,3.1492435101.7461655,1
Tuesday,12,CANCELLED_BY_PASSENGER,3.1318079101.7724714,1
Tuesday,23,CANCELLED_BY_PASSENGER,2.9240358101.636143,1
Tuesday,6,CANCELLED_BY_PASSENGER,3.1378514101.7523185,1
Tuesday,9,CANCELLED_BY_PASSENGER,3.1618552101.747853,1
Tuesday,16,CANCELLED_BY_PASSENGER,3.0812302101.5667829,1
Tuesday,7,NO_TAKER,3.0807156101.6125052,1
Tuesday,17,CANCELLED_BY_PASSENGER,3.0712632101.5657915,1
Tuesday,6,NO_TAKER,3.0367521101.5697531,1
Tuesday,16,CANCELLED_BY_PASSENGER,3.0652018101.609882,2
Tuesday,18,CANCELLED_BY_PASSENGER,3.0827972101.5897391,1
Tuesday,17,NO_DRIVER_AVAILABLE,3.1333894101.5259966,1
Tuesday,8,CANCELLED_BY_PASSENGER,2.9255701101.6367957,18
Tuesday,6,NO_TAKER,3.0620108101.5950546,1
Tuesday,17,CANCELLED_BY_PASSENGER,2.9695833053795315101.7114763483564,1
Tuesday,11,CANCELLED_BY_PASSENGER,2.755162302889564101.7042388640315,3
Tuesday,12,NO_TAKER,3.2443781101.7015747,1
Tuesday,8,NO_TAKER,3.0502446260745297101.64439997787036,1
Tuesday,21,NO_TAKER,3.0086301188134557101.70597234706584,1
Tuesday,3,CANCELLED_BY_PASSENGER,2.765631101.6848192,1
Tuesday,0,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,67
Tuesday,20,NO_DRIVER_AVAILABLE,3.1333608451985779101.55375788193216,2
Tuesday,20,CANCELLED_BY_DRIVER,3.1333608451985779101.55375788193216,1
